model_key,sample_size,outer_fold,projected,raw,delta_nRMSE,relative_change_percent,projection_improved
catboost_regressor,1450,4,0.33455573097502395,0.33646546755472295,-0.0019097365796990062,-0.5675876914139504,True
catboost_regressor,2400,0,0.3133460041404769,0.31282636547912535,0.0005196386613515735,0.16611089047935398,False
catboost_regressor,2400,1,0.37983779208086105,0.3797791174715584,5.8674609302644676e-05,0.015449667083667075,False
catboost_regressor,2400,2,0.4367513084321794,0.3071003720377525,0.12965093639442693,42.21777249377239,False
catboost_regressor,2400,3,0.2899492118952209,0.29055529011152614,-0.0006060782163052614,-0.2085930757180933,True
catboost_regressor,2400,4,0.29971654992102864,0.30142126174302225,-0.0017047118219936097,-0.5655579212082815,True
catboost_regressor,3350,0,0.2975335514864252,0.2969349044620738,0.000598647024351362,0.20160884266397333,False
catboost_regressor,3350,1,0.3183920085633043,0.31834973742490896,4.227113839533336e-05,0.013278207400847663,False
catboost_regressor,3350,2,0.3757554597984651,0.27595421028167866,0.09980124951678643,36.165873104423696,False
catboost_regressor,3350,3,0.27107928824738586,0.27180120526578805,-0.000721917018402185,-0.2656047892415485,True
catboost_regressor,3350,4,0.2780224824940558,0.27843010547231345,-0.00040762297825763794,-0.1464004682849108,True
catboost_regressor,4300,0,0.2868840545525189,0.28504202335130363,0.0018420312012152884,0.6462314502114848,False
catboost_regressor,4300,1,0.2857320179844516,0.285929020074456,-0.0001970020900043945,-0.06889894910040789,True
catboost_regressor,4300,2,0.300076030196173,0.2577877631501755,0.04228826704599753,16.40429573895728,False
catboost_regressor,4300,3,0.2674761439848204,0.2668012678210604,0.0006748761637599965,0.252950883356606,False
catboost_regressor,4300,4,0.2865466111909695,0.28757180427531875,-0.0010251930843492296,-0.3564998616372413,True
catboost_regressor,5250,0,0.2714474507916018,0.27203438882080416,-0.0005869380292023441,-0.21575876187807078,True
catboost_regressor,5250,1,0.2597219933823931,0.2602129348231069,-0.0004909414407138213,-0.18866911479537476,True
catboost_regressor,5250,2,0.30724959857264705,0.25190901129020393,0.05534058728244312,21.968482587822045,False
catboost_regressor,5250,3,0.25556191770641057,0.25574709657675,-0.0001851788703394197,-0.07240702741813819,True
catboost_regressor,5250,4,0.2672188613495877,0.2690541863223861,-0.001835324972798369,-0.6821395340042194,True
catboost_regressor,6200,0,0.2610334526878851,0.26157802924783397,-0.0005445765599488839,-0.2081889528393537,True
catboost_regressor,6200,1,0.2623977877334214,0.26310107242732916,-0.0007032846939077908,-0.26730590165193807,True
catboost_regressor,6200,2,0.2947231979668371,0.24664825695073941,0.04807494101609769,19.49129566551091,False
catboost_regressor,6200,3,0.238319132075299,0.23984842490569186,-0.0015292928303928532,-0.6376080355725369,True
catboost_regressor,6200,4,0.2689590906543543,0.2700731015198789,-0.001114010865524595,-0.4124849380613336,True
catboost_regressor,7150,0,0.24942518454942744,0.2502679580521975,-0.0008427735027700389,-0.33674846325883423,True
catboost_regressor,7150,1,0.2519629547146361,0.252176730644325,-0.00021377592968890857,-0.08477226631604735,True
catboost_regressor,7150,2,0.2819737443902003,0.23427412608043335,0.047699618309766934,20.360600253990583,False
catboost_regressor,7150,3,0.23997552640327174,0.2422598002962326,-0.0022842738929608475,-0.9429025740827256,True
catboost_regressor,7150,4,0.2550332076068952,0.25702707710419237,-0.001993869497297185,-0.7757429760946626,True
catboost_regressor,8100,0,0.2380347505040355,0.23889209136406614,-0.000857340860030642,-0.35888206057188976,True
catboost_regressor,8100,1,0.24106251721634706,0.24159363911482162,-0.000531121898474568,-0.21984101088942287,True
catboost_regressor,8100,2,0.2359227062937731,0.2366291255239649,-0.000706419230191796,-0.2985343535490742,True
catboost_regressor,8100,3,0.22864009680026998,0.23052533766258967,-0.0018852408623196981,-0.8178020175287831,True
catboost_regressor,8100,4,0.2397165166603108,0.24137511933330374,-0.0016586026729929482,-0.6871473238725406,True
catboost_regressor,9050,0,0.22959749794822396,0.23102537721033278,-0.0014278792621088277,-0.6180616516465381,True
catboost_regressor,9050,1,0.2235049283577479,0.22434798657562155,-0.0008430582178736434,-0.37578149496317037,True
catboost_regressor,9050,2,0.2792799138016462,0.24321622596166317,0.03606368783998301,14.82782972122408,False
catboost_regressor,9050,3,0.22740980029028557,0.229479280263231,-0.0020694799729454316,-0.9018156107913418,True
catboost_regressor,9050,4,0.2318689982898153,0.23412687145073202,-0.002257873160916718,-0.964380187086662,True
catboost_regressor,10000,0,0.22558330793930512,0.22668939820389988,-0.0011060902645947668,-0.48793206623623125,True
