model_key,sample_size,prediction_type,folds,nRMSE_mean,nRMSE_sd,nMAE_mean,macro_R2_mean
lightgbm_regressor,7150,projected,5,0.26275698783758705,0.008035045623444507,0.1274009062092972,0.9312115795851794
lightgbm_regressor,8100,raw,5,0.25517526127514156,0.004286033366719188,0.12387884907692634,0.9347397136632637
lightgbm_regressor,8100,projected,5,0.25539079223382516,0.004303327078024091,0.12499974126583706,0.9346343030149911
lightgbm_regressor,9050,raw,5,0.253446585923544,0.003944103785490106,0.12196225017349091,0.9353996105318249
lightgbm_regressor,9050,projected,5,0.2539390051430776,0.0036348646792969514,0.12318164267487845,0.9351635166440154
multitask_elastic_net_regressor,10000,raw,5,0.5361093457040409,0.00789004776350223,0.33822846344539387,0.7128642807617973
multitask_elastic_net_regressor,10000,projected,5,0.51609347119638,0.008275770570846953,0.3100998109083196,0.7340440165241258
multitask_elastic_net_regressor,1450,raw,5,0.5422566478028676,0.02849913853827661,0.3415501518980382,0.7094339687640714
multitask_elastic_net_regressor,1450,projected,5,0.520869213433382,0.029537682440196326,0.3113525254677083,0.7330841541022958
multitask_elastic_net_regressor,2400,raw,5,0.540967332794268,0.03828675559219239,0.33974862164301467,0.7136164606378623
multitask_elastic_net_regressor,2400,projected,5,0.5200551876263175,0.04057077720889422,0.31025845830258614,0.7361656887828478
multitask_elastic_net_regressor,3350,raw,5,0.5381362460269489,0.029239237094111078,0.3395789005911295,0.7141545637031456
multitask_elastic_net_regressor,3350,projected,5,0.5176642242752483,0.030830309046544168,0.31086794612513635,0.7360411578337647
multitask_elastic_net_regressor,4300,raw,5,0.5380078680200375,0.0123834617656571,0.33857216532484624,0.7120060047598947
multitask_elastic_net_regressor,4300,projected,5,0.517428272368248,0.012687210454075216,0.3099804659769051,0.7340727440899
multitask_elastic_net_regressor,500,raw,5,0.5515032179087024,0.04082251698420099,0.3484980643825952,0.6978282516299277
multitask_elastic_net_regressor,500,projected,5,0.5278122638872176,0.03605054862253893,0.3160481630072828,0.7263797570746744
multitask_elastic_net_regressor,5250,raw,5,0.5374558399531989,0.010988198476713899,0.3389018275783738,0.7123612381152817
multitask_elastic_net_regressor,5250,projected,5,0.5170551557205438,0.011652692614297588,0.3105407091274512,0.7341369764968443
multitask_elastic_net_regressor,6200,raw,5,0.5382992592658831,0.010335127743093196,0.3390946480923064,0.7116020803705453
multitask_elastic_net_regressor,6200,projected,5,0.5180429455323565,0.010604218474123805,0.310641433451271,0.7333216182340243
multitask_elastic_net_regressor,7150,raw,5,0.5370255253686628,0.00664588665412818,0.33910645553105934,0.7126925479503494
multitask_elastic_net_regressor,7150,projected,5,0.5167487830485766,0.006982054914860844,0.3107164316691233,0.7342513619079508
multitask_elastic_net_regressor,8100,raw,5,0.5369232290218557,0.004518928471715333,0.33916499171764014,0.7123527658852955
multitask_elastic_net_regressor,8100,projected,5,0.5167435242848681,0.0045044764624372615,0.31092365487625473,0.7337556053375556
multitask_elastic_net_regressor,9050,raw,5,0.5362538550933664,0.005671517373707388,0.33833129086074526,0.7126272514206693
multitask_elastic_net_regressor,9050,projected,5,0.5161617224322935,0.006388728748834053,0.31024142629691526,0.733900994943213
multitask_lasso_regressor,10000,raw,5,0.5361071320453383,0.007891363231945956,0.3382251738620369,0.7128667089995713
multitask_lasso_regressor,10000,projected,5,0.5160998206296257,0.008242502538365344,0.310104104434798,0.7340372864109883
multitask_lasso_regressor,1450,raw,5,0.5422508805077356,0.028492611436294578,0.3415444582221931,0.7094397102793317
multitask_lasso_regressor,1450,projected,5,0.5208698765194227,0.029540729500836128,0.31135168138090946,0.733082552569037
multitask_lasso_regressor,2400,raw,5,0.5409632833635969,0.03828816209910433,0.3397446100898517,0.7136202386111732
multitask_lasso_regressor,2400,projected,5,0.5200589763899612,0.04055770524802138,0.31026023638416866,0.736160939861575
multitask_lasso_regressor,3350,raw,5,0.5381348782210781,0.029239082593685906,0.339575789187112,0.7141557712154596
multitask_lasso_regressor,3350,projected,5,0.5176701548026503,0.030822449153664406,0.3108710024548803,0.7360343233638156
